ObservationDate,India
01/22/2020,0
01/23/2020,0
01/24/2020,0
01/25/2020,0
01/26/2020,0
01/27/2020,0
01/28/2020,0
01/29/2020,0
01/30/2020,1
01/31/2020,1
02/01/2020,1
02/02/2020,2
02/03/2020,3
02/04/2020,3
02/05/2020,3
02/06/2020,3
02/07/2020,3
02/08/2020,3
02/09/2020,3
02/10/2020,3
02/11/2020,3
02/12/2020,3
02/13/2020,3
02/14/2020,3
02/15/2020,3
02/16/2020,3
02/17/2020,3
02/18/2020,3
02/19/2020,3
02/20/2020,3
02/21/2020,3
02/22/2020,3
02/23/2020,3
02/24/2020,3
02/25/2020,3
02/26/2020,3
02/27/2020,3
02/28/2020,3
02/29/2020,3
03/01/2020,3
03/02/2020,5
03/03/2020,5
03/04/2020,28
03/05/2020,30
03/06/2020,31
03/07/2020,34
03/08/2020,39
03/09/2020,43
03/10/2020,56
03/11/2020,62
03/12/2020,73
03/13/2020,82
03/14/2020,102
03/15/2020,113
03/16/2020,119
03/17/2020,142
03/18/2020,156
03/19/2020,194
03/20/2020,244
03/21/2020,330
03/22/2020,396
03/23/2020,499
03/24/2020,536
03/25/2020,657
03/26/2020,727
03/27/2020,887
03/28/2020,987
03/29/2020,1024
03/30/2020,1251
03/31/2020,1397
04/01/2020,1998
04/02/2020,2543
04/03/2020,2567
04/04/2020,3082
04/05/2020,3588
04/06/2020,4778
04/07/2020,5311
04/08/2020,5916
04/09/2020,6725
04/10/2020,7598
04/11/2020,8446
04/12/2020,9205
04/13/2020,10453
04/14/2020,11487
04/15/2020,12322
04/16/2020,13430
04/17/2020,14352
04/18/2020,15722
04/19/2020,17615
04/20/2020,18539
04/21/2020,20080
04/22/2020,21370
