Country/Region,Italy,Spain,India
03/21/2020,1128,1073,330
03/22/2020,1694,1695,396
03/23/2020,2036,2277,499
03/24/2020,2502,2277,536
03/25/2020,3089,5232,657
03/26/2020,3858,6391,727
03/27/2020,4636,7798,887
03/28/2020,5883,9942,987
03/29/2020,7375,11748,1024
03/30/2020,9172,13910,1251
03/31/2020,10149,17963,1397
04/01/2020,12462,20410,1998
04/02/2020,12462,25374,2543
04/03/2020,17660,28768,2567
04/04/2020,21157,35136,3082
04/05/2020,24747,39885,3588
04/06/2020,27980,49515,4778
04/07/2020,31506,57786,5311
04/08/2020,35713,65719,5916
04/09/2020,41035,73235,6725
04/10/2020,47021,80110,7598
04/11/2020,53578,87956,8446
04/12/2020,59138,95923,9205
04/13/2020,63927,104118,10453
04/14/2020,69176,112065,11487
04/15/2020,74386,119199,12322
04/16/2020,80589,126168,13430
04/17/2020,86498,131646,14352
04/18/2020,92472,136675,15722
04/19/2020,97689,141942,17615
04/20/2020,101739,148220,18539
04/21/2020,105792,153222,20080
04/22/2020,110574,158273,21370
04/23/2020,115242,163027,23077
